repo	revision	tier	bytes	file_sha256	status	answer_sha256	skip
sentence-transformers/sentence-t5-base	fc5d4628481afbbaaacd7af6bb07cf9d3865f781	full	1387554	3dd4249b57e28dda22219397c091a4a11655c537e0d8a9b5e2efcf43f39c8773	ok	ac9567378d9bd13ea8d4c5ed3570e3c23b7f9b1d57ad5b9096996ce56b82e47f	-
sentence-transformers/stsb-xlm-r-multilingual	a9a41e8dd95580d588c64113c4dcfca5ec6682e8	full	9096735	96ef91dd5d1c3b157a0437e85ff1f29d0eb3cf32fd40f863dab45baa5e839fad	ok	d76165a55f6bc564b7bc2c625c43b0969767c8f339feb50c89adc3a812cdb104	-
sfairXC/FsfairX-LLaMA3-RM-v0.1	94fad49f1b3227aa8b566f415a335adb68ec544c	full	9084645	af99d45ff3e0b8f55136cbd2c285016b44e10f33e93db0d6501a02f5a2be2cda	ok	14a792fe51fdd1d629910eabee2263a2d6c0e238967f2977011dc69f5022b592	-
shibing624/text2vec-base-chinese-paraphrase	e90c150a9c7fb55a67712a766d6820c55fb83cdd	full	818260	c0670fbbf769778cb8be09cc61efc2d679b64e21770efa475dda0962b032342d	ok	78ca0d2f2f508fa6f3dc68c0f805f9fce2579f6671c069021aea4e4cd9d1049d	-
sileod/deberta-v3-base-tasksource-nli	3209a6ab012eab725e8f24547972f9aa133d1345	full	8656843	f9105c376c25bcdddd0e96d04bc214773e19e188d57063fc4f9ce262a6899c41	ok	71d3063c03d26252d58bd29098ba409262c70d89eaa8c99fc43e882ef57f34a5	-
Sindhu/muril-large-squad2	5dd6f4c086665f9affb815f164d62000f72cda2e	full	4829129	971c9777bc4c224e8d4d2dddb29850e7b6c26ee97dc0812a157f626abed5b434	ok	17df7949b3d11fcd09db99ebf8702889fe498787b1b9a6b056593f39390ab3c4	-
sjrhuschlee/flan-t5-base-squad2	c1fc232b3e8d745877fb1658a30627cf23629022	full	2422345	de0a44403b03bb6a0585f1fd93feb3cd9e697e882f6b60eb50bb6d2e086a4d68	ok	1a0372511c60b246ef966c0f1781cfb9ef429ed858aac488ef17715e1c763b1c	-
Skywork/Skywork-o1-Open-PRM-Qwen-2.5-7B	b89a8956c8a39c75f8cc25064455c33f8f8831f2	full	7031673	a8506e7111b80c6d8635951a02eab0f4e1a8e4e5772da83846579e97b16f61bf	ok	ebc9fda176829a0763975768800088d09be2320684e8709577c66799481dad2a	-
snunlp/KR-FinBert-SC	f8586286cc3161fb648e9fee09a456069fd846d0	full	293759	896789eab76ff9b984d5a91342ca7bf58adf14cfe9027da888a0c228078d7dcf	ok	73f1c36de82285da305ab7f150cecad5e9dacf9d652a547a4b9518b16810da02	-
snunlp/KR-SBERT-V40K-klueNLI-augSTS	92c6c2c7032f680bff0f9f0c63fadd3f97e635b2	full	967247	1792ae652d6c0639dccac53635dbdb729c47007ec9b347375688c4436a48418f	ok	455c729eb3643a829650ffff18ef93f4b2ff253139a002401f03d0c4b7dbec1e	-
